"rt","responses","stimulus","key_press","test_part","correct_response","new_SSD","correct","practice","response","trial_type","trial_index"
"43793.03499998059","{""1"":0,""2"":1,""3"":2,""4"":3,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0,""10"":1,""11"":2,""12"":3,""13"":4,""14"":3,""15"":2,""16"":1,""17"":0,""18"":1,""19"":2,""20"":3,""21"":4,""22"":3,""23"":2,""24"":1,""25"":0,""26"":1,""27"":2,""28"":3,""29"":4,""30"":3,""31"":2,""32"":1,""33"":0,""34"":1,""35"":2,""36"":3,""37"":4,""38"":3,""39"":2,""40"":1}","N/A","N/A","PANPS","N/A","N/A","N/A","true","N/A","survey-likert","3"
"52539.00500002783","{""1"":0,""2"":1,""3"":2,""4"":3,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0,""10"":1,""11"":2,""12"":3,""13"":4,""14"":3,""15"":2,""16"":1,""17"":0,""18"":1,""19"":2,""20"":3,""21"":4,""22"":3,""23"":2,""24"":1,""25"":0,""26"":1,""27"":2,""28"":3,""29"":4,""30"":3,""31"":1,""32"":0,""33"":2,""34"":3,""35"":1,""36"":0,""37"":1,""38"":2,""39"":3,""40"":4,""41"":2,""42"":1,""43"":0,""44"":1}","N/A","N/A","Big Five","N/A","N/A","N/A","true","N/A","survey-likert","4"
"46494.20000001555","{""1"":0,""2"":1,""3"":2,""4"":3,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0,""10"":1,""11"":2,""12"":3,""13"":4,""14"":3,""15"":2,""16"":1,""17"":0,""18"":1,""19"":2,""20"":3,""21"":4,""22"":3,""23"":2,""24"":1,""25"":0,""26"":1,""27"":2,""28"":3,""29"":4,""30"":3,""31"":2,""32"":1,""33"":0,""34"":1,""35"":2}","N/A","N/A","perfectionism","N/A","N/A","N/A","true","N/A","survey-likert","5"
"426.3249999494292","N/A","img/Pinkstar.jpg","76","p_goP","l","N/A","true","true","N/A","go","14"
"402.0449999952689","N/A","img/Pinkstar.jpg","76","p_goP","l","N/A","true","true","N/A","go","17"
"374.5350000099279","N/A","img/Pinkstar.jpg","76","p_goP","l","N/A","true","true","N/A","go","20"
"409.8149999626912","N/A","img/Pinkstar.jpg","76","p_goP","l","N/A","true","true","N/A","go","23"
"951.9049999653362","N/A","img/Yellowstar.jpg","68","y_goP","d","N/A","true","true","N/A","go","26"
"389.9650000385009","N/A","img/Yellowstar.jpg","68","y_goP","d","N/A","true","true","N/A","go","29"
"343.90999999595806","N/A","img/Yellowstar.jpg","68","y_goP","d","N/A","true","true","N/A","go","32"
"364.8350000148639","N/A","img/Pinkstar.jpg","76","p_goP","l","N/A","true","true","N/A","go","35"
"334.5200000330806","N/A","img/Yellowstar.jpg","68","y_goP","d","N/A","true","true","N/A","go","38"
"735.4599999962375","N/A","img/Yellowstar.jpg","68","y_goP","d","N/A","true","true","N/A","go","41"
"288.2450000033714","N/A","img/Yellowstar.jpg","76","y_goP","d","N/A","false","true","N/A","go","44"
"287.02499996870756","N/A","img/Pinkstar.jpg","76","p_goP","l","N/A","true","true","N/A","go","47"
"332.944999972824","N/A","img/Pinkstar.jpg","76","p_goP","l","N/A","true","true","N/A","go","50"
